Inspection_ID,Inspection_Date,DBA_Name,AKA_Name,License,Facility_Type,Risk,Address,City,State,Zip,Inspection_Type,Results,Latitude,Longitude,Location,Facility_Type_Clean,criticalCount,seriousCount,minorCount,pass_flag,fail_flag,pastFail,pastCritical,pastSerious,pastMinor,timeSinceLast,firstRecord,ID,LICENSE_ID,ACCOUNT_NUMBER,LEGAL_NAME,DOING_BUSINESS_AS_NAME,ADDRESS,CITY,STATE,ZIP_CODE,WARD,PRECINCT,WARD_PRECINCT,POLICE_DISTRICT,LICENSE_CODE,LICENSE_DESCRIPTION,BUSINESS_ACTIVITY_ID,BUSINESS_ACTIVITY,LICENSE_NUMBER,APPLICATION_TYPE,LICENSE_TERM_START_DATE,LICENSE_TERM_EXPIRATION_DATE,LICENSE_STATUS,LATITUDE,LONGITUDE,minDate,maxDate,ageAtInspection,consumption_on_premises_incidental_activity,tobacco,package_goods,outdoor_patio,public_place_of_amusement,limited_business_license,childrens_services_facility_license,tavern,regulated_business_license,filling_station,caterers_liquor_license,mobile_food_license,precipIntensity,temperatureMax,windSpeed,humidity,heat_burglary,heat_garbage,heat_sanitation,criticalFound
269961,2013-01-31,SEVEN STAR,SEVEN STAR,30790,Grocery Store,Risk 3 (Low),3352 N BROADWAY ,CHICAGO,IL,60657,Canvass,Pass,41.943359344775146,-87.64499875300952,"(41.943359344775146, -87.64499875300952)",Other,0,0,2,1,0,0,0,0,0,2,1,30790-20110416,2081412,63759,VIRGINIA DELA ROSA,SEVEN STAR,3352 N BROADWAY   1,CHICAGO,IL,60657,44,33,44-33,19,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,30790,RENEW,2011-04-16,2013-04-15,AAI,41.943359345,-87.644998753,2002-02-16,2015-04-15,10.964383561643835,0,1,0,0,0,1,0,0,0,0,0,0,0.014586666666666666,53.49666666666666,13.339999999999998,0.9,26.992375861633032,12.768572449358047,37.748787167932505,0
507211,2011-10-18,PANERA BREAD,PANERA BREAD,1475890,Restaurant,Risk 1 (High),6059 N LINCOLN AVE ,CHICAGO,IL,60659,Canvass,Pass,41.99191947239194,-87.70963133440333,"(41.99191947239194, -87.70963133440333)",Restaurant,0,0,3,1,0,0,0,0,0,2,1,1475890-20110416,2081695,207283,"PANERA, LLC",PANERA BREAD,6059 N LINCOLN AVE  C,CHICAGO,IL,60659,50,23,50-23,24,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,1475890,RENEW,2011-04-16,2013-04-15,AAI,41.991919472,-87.709631334,2004-05-05,2019-04-15,7.457534246575342,0,0,0,0,0,0,0,0,0,0,0,0,0.0019066666666666668,59.04666666666666,13.016666666666666,0.5499999999999999,13.976556531634234,12.895485011642904,15.412267322070075,0
507212,2011-10-18,LITTLE QUIAPO RESTAURANT,LITTLE QUIAPO RESTAURANT,1740130,Restaurant,Risk 1 (High),6259 N MCCORMICK RD ,CHICAGO,IL,60659,Canvass,Fail,41.99563177556418,-87.71270678169132,"(41.99563177556418, -87.71270678169132)",Restaurant,0,2,6,0,1,0,0,0,0,2,1,1740130-20110216,2070145,3107,ENELITA GARCIA,LITTLE QUIAPO RESTAURANT,6259 N MCCORMICK RD,CHICAGO,IL,60659,50,25,50-25,17,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,1740130,RENEW,2011-02-16,2013-02-15,AAI,41.995631776,-87.712706782,2007-03-22,2017-02-15,4.578082191780822,0,0,0,0,0,0,0,0,0,0,0,0,0.0019066666666666668,59.04666666666666,13.016666666666666,0.5499999999999999,12.611239475253589,8.004219947993086,8.320329738168754,0
507216,2011-10-19,SERGIO'S TAQUERIA PIZZA INC.,SERGIO'S TAQUERIA PIZZA,1447363,Restaurant,Risk 1 (High),3253 W BRYN MAWR AVE ,CHICAGO,IL,60659,Canvass,Pass,41.982933189164974,-87.71098225381141,"(41.982933189164974, -87.71098225381141)",Restaurant,0,0,6,1,0,0,0,0,0,2,1,1447363-20110216,2071895,270993,SERGIO'S TAZUERIA PIZZA INC.,SERGIO'S TAQUERIA PIZZA INC.,3253 W BRYN MAWR AVE,CHICAGO,IL,60659,39,48,39-48,17,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,1447363,RENEW,2011-02-16,2013-02-15,AAI,41.982933189,-87.710982254,2003-12-31,2019-02-15,7.8054794520547945,0,0,0,0,0,0,0,0,0,0,0,0,0.0027366666666666668,56.153333333333336,10.863333333333335,0.6166666666666667,35.906382996944764,26.23864454195639,38.18661845787836,0
507219,2011-10-20,TARGET STORE # T-2079,TARGET,1679459,Restaurant,Risk 2 (Medium),2112 W PETERSON AVE ,CHICAGO,IL,60659,Canvass,Fail,41.99072921796059,-87.68297945359863,"(41.99072921796059, -87.68297945359863)",Restaurant,0,2,6,0,1,0,0,0,0,2,1,1679459-20100216,2009972,15538,TARGET CORPORATION,TARGET STORE # T-2079,2112 W PETERSON AVE,CHICAGO,IL,60659,40,18,40-18,24,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,1679459,RENEW,2010-02-16,2012-02-15,AAI,41.990729218,-87.682979454,2006-07-07,2018-02-15,5.2904109589041095,0,0,1,0,0,1,0,0,0,0,0,0,0.009986666666666666,52.73,16.266666666666666,0.6900000000000001,9.53078543793244,3.4015669077145034,2.126787504674216,0
509319,2011-09-13,MOROLEON FOODS #2 INC.,,1801622,Grocery Store,Risk 2 (Medium),4257 S ROCKWELL ST ,CHICAGO,IL,60632,Canvass,Fail,41.81577111582739,-87.68938589725278,"(41.81577111582739, -87.68938589725278)",Other,0,1,4,0,1,0,0,0,0,2,1,1801622-20110616,2091829,314329,MOROLEON FOODS #2 INC.,MOROLEON FOODS #2 INC.,4257 S ROCKWELL ST 1,CHICAGO,IL,60632,15,23,15-23,9,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,1801622,RENEW,2011-06-16,2013-06-15,AAI,41.815771116,-87.689385897,2007-03-19,2019-06-15,4.49041095890411,0,0,0,0,0,0,0,0,0,0,0,0,1.8333333333333334e-4,79.21666666666668,6.476666666666667,0.6966666666666667,35.11199288105402,32.21951913071832,12.350779294794087,0
509320,2011-09-13,"SOL MAR Y TIERRA,INC.",MAR Y TIERRA RESTAURANT,2055142,Restaurant,Risk 1 (High),4231 S ARCHER AVE ,CHICAGO,IL,60632,Canvass,Pass,41.81642688081433,-87.70020650732516,"(41.81642688081433, -87.70020650732516)",Restaurant,0,0,3,1,0,0,0,0,0,2,1,2055142-20100915,2055142,356361,"ENCHILADAS LUPITA, INC.","SOL MAR Y TIERRA, INC.",4231 S ARCHER AVE 1ST,CHICAGO,IL,60632,15,23,15-23,9,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,2055142,ISSUE,2010-09-15,2012-09-15,AAI,41.816426881,-87.700206507,2010-09-15,2014-09-15,0.9945205479452055,0,0,0,0,0,0,0,0,0,0,0,0,1.8333333333333334e-4,79.21666666666668,6.476666666666667,0.6966666666666667,7.078183051512449,34.74847695041561,14.61509963732215,0
509321,2011-09-13,KORONA LOUNGE INC,KORONA LOUNGE INC,12285,Restaurant,Risk 2 (Medium),4710 S PULASKI RD ,CHICAGO,IL,60632,Canvass,Pass,41.8075025546062,-87.7237211599538,"(41.8075025546062, -87.7237211599538)",Restaurant,0,0,2,1,0,0,0,0,0,2,1,12285-20110616,2089657,6048,KORONA LOUNGE INC,KORONA LOUNGE INC,4710 S PULASKI RD  1,CHICAGO,IL,60632,14,28,14-28,8,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,12285,RENEW,2011-06-16,2013-06-15,AAI,41.807502555,-87.72372116,2002-05-16,2019-06-15,9.334246575342465,0,0,0,0,0,0,0,1,0,0,0,0,1.8333333333333334e-4,79.21666666666668,6.476666666666667,0.6966666666666667,12.579649352471675,15.110385023609176,11.509750726239778,0
509323,2011-09-15,"CARNICERIA LA GLORIA NO. 2, INC.","CARNICERIA LA GLORIA NO. 2, INC.",1514813,Grocery Store,Risk 1 (High),2744 W 55TH ST ,CHICAGO,IL,60632,Canvass,Pass,41.79381182633236,-87.69315060239883,"(41.79381182633236, -87.69315060239883)",Other,0,0,3,1,0,0,0,0,0,2,1,1514813-20110616,2091445,279304,"CARNICERIA LA GLORIA NO 2, INC.","CARNICERIA LA GLORIA NO. 2, INC.",2744 W 55TH ST,CHICAGO,IL,60632,14,21,14-21,9,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,1514813,RENEW,2011-06-16,2013-06-15,AAI,41.793811826,-87.693150602,2004-08-11,2015-06-15,7.098630136986301,0,0,0,0,0,0,0,0,0,0,0,0,4.7333333333333336e-4,73.49666666666667,10.196666666666665,0.64,12.535886431233429,37.96641856081946,19.938422404915098,0
509324,2011-09-15,T&G Restaurant,T&G Restaurant,2008236,Restaurant,Risk 2 (Medium),2459 W 51st ST ,CHICAGO,IL,60632,Canvass,Pass,41.80100543752876,-87.68661612013953,"(41.80100543752876, -87.68661612013953)",Restaurant,0,0,3,1,0,0,0,0,0,2,1,2008236-20110616,2092716,349010,T & G FAST FOOD RESTAURANT INC.,T & G RESTAURANT,2459 W 51ST ST 1ST,CHICAGO,IL,60632,14,17,14-17,9,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,2008236,RENEW,2011-06-16,2013-06-15,AAI,41.801005438,-87.68661612,2009-12-10,2013-06-15,1.7643835616438357,0,0,0,0,0,0,0,0,0,0,0,0,4.7333333333333336e-4,73.49666666666667,10.196666666666665,0.64,13.627468306616006,41.05990216154411,25.03046281384928,0
